county,date,order_closure,order_gath,order_lab,order_masks,order_quarres,order_quarvis,order_shome,order_bubble
Alpine,2020-05-15,7,10,0,1,2,0,10,0
Alpine,2020-05-16,7,10,0,1,2,0,10,0
Alpine,2020-05-17,7,10,0,1,2,0,10,0
Alpine,2020-05-18,7,10,0,1,2,0,10,0
Alpine,2020-05-19,2,,0,1,2,0,0,0
Alpine,2020-05-20,2,,0,1,2,0,0,0
Alpine,2020-05-21,2,,0,1,2,0,0,0
Alpine,2020-05-22,2,,0,1,2,0,0,0
Alpine,2020-05-23,2,,0,1,2,0,0,0
Alpine,2020-05-24,2,,0,1,2,0,0,0
Alpine,2020-05-25,2,,0,1,2,0,0,0
Alpine,2020-05-26,1,,0,1,2,0,0,0
Alpine,2020-05-27,1,,0,1,2,0,0,0
Alpine,2020-05-28,1,,0,1,2,0,0,0
Alpine,2020-05-29,1,,0,1,2,0,0,0
Alpine,2020-05-30,1,,0,1,2,0,0,0
Alpine,2020-05-31,1,,0,1,2,0,0,0
Alpine,2020-06-01,1,,0,1,2,0,0,0
Alpine,2020-06-02,1,,0,1,2,0,0,0
Alpine,2020-06-03,1,,0,1,2,0,0,0
Alpine,2020-06-04,1,,0,1,2,0,0,0
Alpine,2020-06-05,1,,0,1,2,0,0,0
Alpine,2020-06-06,1,,0,1,2,0,0,0
Alpine,2020-06-07,1,,0,1,2,0,0,0
Alpine,2020-06-08,1,,0,1,2,0,0,0
Alpine,2020-06-09,1,,0,1,2,0,0,0
Alpine,2020-06-10,1,,0,1,2,0,0,0
Alpine,2020-06-11,1,,0,1,2,0,0,0
Alpine,2020-06-12,0,,0,1,2,0,0,0
Alpine,2020-06-13,0,,0,1,2,0,0,0
Alpine,2020-06-14,0,,0,1,2,0,0,0
Alpine,2020-06-15,0,,0,1,2,0,0,0
Alpine,2020-06-16,0,,0,1,2,0,0,0
Alpine,2020-06-17,0,,0,1,2,0,0,0
Alpine,2020-06-18,0,,0,7,2,0,0,0
Alpine,2020-06-19,0,,0,7,2,0,0,0
Alpine,2020-06-20,0,,0,7,2,0,0,0
Alpine,2020-06-21,0,,0,7,2,0,0,0
Alpine,2020-06-22,0,,0,7,2,0,0,0
Alpine,2020-06-23,0,,0,7,2,0,0,0
Alpine,2020-06-24,0,,0,7,2,0,0,0
Alpine,2020-06-25,0,,0,7,2,0,0,0
Alpine,2020-06-26,0,,0,7,2,0,0,0
Alpine,2020-06-27,0,,0,7,2,0,0,0
Alpine,2020-06-28,0,,0,7,2,0,0,0
Alpine,2020-06-29,0,,0,7,2,0,0,0
Alpine,2020-06-30,0,,0,7,2,0,0,0
Alpine,2020-07-01,0,,0,7,2,0,0,0
Alpine,2020-07-02,0,,0,7,2,0,0,0
Alpine,2020-07-03,0,,0,7,2,0,0,0
Alpine,2020-07-04,0,,0,7,2,0,0,0
Alpine,2020-07-05,0,,0,7,2,0,0,0
Alpine,2020-07-06,0,,0,7,2,0,0,0
